,datetime,O3,STATUS,NO,STATUS2,NO2,STATUS3,NOX,STATUS4,SO2,STATUS5,CO,STATUS6,PM10,STATUS7,Temp Int,STATUS8,Temp Ext,STATUS9,RH,STATUS10,WS,STATUS11,WD,STATUS12,PRECIPITACION,STATUS13,Rad Solar,PM10 Analogico,STATUS14,PM2.5 Analogico,O32,STATUS15,NO3,STATUS16,NO22,STATUS17,NOX2,STATUS18,SO22,STATUS19,CO2,STATUS20,PM2.5 Digital,UV,UVI,STATUS21
0,01/05/2021 00:00,0.015,144,0.004,144,0.012,144,0.015,144,0.0019,144,0.652,144,31.6,151,24.2,144,23.7,144,54,144,6.4,144,265.6,144,0,144,7,31.3,144,7,0.015,144,0.003,144,0.012,144,0.015,144,0.0021,151,0.651,144,7,7,0.22,151
1,01/05/2021 01:00,0.015,144,0.003,144,0.011,144,0.013,144,0.0007,144,0.629,144,27,144,24.2,144,22.7,144,57,144,4.6,144,277.6,144,0,144,7,26.7,151,7,0.016,144,0.002,144,0.01,144,0.012,144,0.0009,144,0.63,144,0,0,0.22,151
2,01/05/2021 02:00,0.015,144,0.003,144,0.008,144,0.011,144,0.0003,146,0.646,144,26.3,144,24.2,144,21.4,144,63.9,144,2.8,144,265.1,144,0,144,7,26.1,144,7,0.016,144,0.003,144,0.008,144,0.011,144,0.0004,144,0.647,144,0,0,0.22,151
3,01/05/2021 03:00,0.014,144,0.002,144,0.009,144,0.011,144,0.0005,146,0.637,144,26.7,144,24.2,144,20.6,144,66.6,144,1.9,144,268.6,144,0,144,7,26.5,144,7,0.015,144,0.002,144,0.009,144,0.01,144,0.0007,144,0.637,144,0,0,0.22,151
4,01/05/2021 04:00,0.015,144,0.002,144,0.007,144,0.009,144,0.0004,146,0.615,144,19.4,151,24.3,144,20,144,64.7,144,3.9,144,294.8,144,0,144,7,19.2,144,7,0.015,144,0.002,144,0.007,144,0.008,144,0.0005,144,0.616,144,0,0,0.22,151
5,01/05/2021 05:00,0.015,144,0.003,144,0.008,144,0.01,144,0.0003,146,0.611,144,16.3,151,24.3,144,19.3,144,66.3,144,3.5,144,294.1,144,0,144,7,16.2,144,7,0.015,144,0.002,144,0.008,144,0.01,144,0.0004,144,0.614,144,0,0,0.22,151
6,01/05/2021 06:00,0.015,144,0.002,144,0.008,144,0.01,144,0.0003,146,0.627,144,18.2,151,24.2,144,18.9,144,72.9,144,3.2,144,279.6,144,0,144,7,18,144,7,0.015,144,0.002,144,0.008,144,0.01,144,0.0005,144,0.628,144,0,0,0.22,151
7,01/05/2021 07:00,0.012,144,0.004,144,0.014,144,0.017,144,0.0006,144,0.675,144,23,151,24.2,144,18.8,144,71.9,144,1.1,144,194.5,144,0,144,7,22.7,144,7,0.012,144,0.003,144,0.013,144,0.017,144,0.0009,144,0.674,144,0,0,0.26,151
8,01/05/2021 08:00,0.016,144,0.004,144,0.009,144,0.013,144,0.0004,146,0.663,144,22.3,151,24.2,144,19.3,144,68.4,144,2.7,144,275.7,144,0,144,7,22.1,151,7,0.016,144,0.004,144,0.009,144,0.012,144,0.0006,144,0.663,144,0,0,0.76,151
9,01/05/2021 09:00,0.02,144,0.005,144,0.01,144,0.015,144,0.0005,146,0.647,144,25.4,151,24.3,144,20.5,144,61.1,144,2.7,144,230.8,144,0,144,7,25.1,144,7,0.02,144,0.005,144,0.01,144,0.014,144,0.0008,144,0.647,144,0,0,2.13,151
